ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
220,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
221,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
222,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
223,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
224,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
225,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
226,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
227,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
228,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=30000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
229,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
230,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
231,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
232,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
233,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
234,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
235,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
236,ICE,Permethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
237,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,IC20,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,IC20=51730 Nm,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
238,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,AC50/EC50/IC50,-,-,-,-,-,-,-,-,-,Active,-,-,-, 56800 nM,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,AC50= 56800 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Xu et al. 2008; 17980950; 10.1016/j.tox.2007.09.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
239,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,RIC20,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,RIC20=430000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
240,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,RIC20,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,RIC20=1880 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
241,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
242,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
243,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
244,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
245,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
246,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
247,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
248,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
249,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
250,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
251,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Xu et al. 2008; 17980950; 10.1016/j.tox.2007.09.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
252,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
253,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
254,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Call,-,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Inactive,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
255,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=10000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Xu et al. 2008; 17980950; 10.1016/j.tox.2007.09.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
256,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=100000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
257,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=158000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
258,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=20000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
259,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=10000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Zhang et al. 2008; 18586453; 10.1016/j.reprotox.2008.05.054,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
260,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,LEL,-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,LEL=1000 nM,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
261,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
262,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kojima et al. 2004; 15064155; 10.1289/ehp.6649,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
263,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Kim et al. 2006; 16621434; 10.1016/j.tiv.2006.03.003,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
264,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Sun et al. 2007; 16857237; 10.1016/j.chemosphere.2006.05.059,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
265,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
266,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
267,ICE,Permethrin,Pyrethroid,AR Transactivation-Antagonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,,-,-,-,-,-,-,-,-,Decrease,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8022292,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Xu et al. 2008; 17980950; 10.1016/j.tox.2007.09.028,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8022292
